2020-08-13_20,0.21
2020-08-13_21,0.27
2020-08-13_22,0.27
2020-08-13_23,0.31
2020-08-14_00,0.23
2020-08-14_01,0.22
2020-08-14_02,0.25
2020-08-14_03,0.24
2020-08-14_04,0.25
2020-08-14_05,0.27
2020-08-14_06,0.25
2020-08-14_07,0.3
2020-08-14_08,0.28
2020-08-14_09,0.24
2020-08-14_10,0.23
2020-08-14_11,0.27
2020-08-14_12,0.25
2020-08-14_13,0.29
2020-08-14_14,0.27
2020-08-14_15,0.28
2020-08-14_16,0.25
2020-08-14_17,0.23
2020-08-14_18,0.22
2020-08-14_19,0.2
2020-08-14_20,0.2
2020-08-14_21,0.08
2020-08-14_22,0.15
2020-08-14_23,0.15
2020-08-15_00,-0.02
2020-08-15_01,0.08
2020-08-15_02,0.13
2020-08-15_03,0.18
2020-08-15_04,0.16
2020-08-15_05,0.23
2020-08-15_06,0.22
2020-08-15_07,0.22
2020-08-15_08,0.24
2020-08-15_09,0.25
2020-08-15_10,0.26
2020-08-15_11,0.32
2020-08-15_12,0.23
2020-08-15_13,0.26
2020-08-15_14,0.24
2020-08-15_15,0.34
2020-08-15_16,0.27
2020-08-15_17,0.29
2020-08-15_18,0.26
2020-08-15_19,0.26
2020-08-15_20,0.25
2020-08-15_21,0.23
2020-08-15_22,0.22
2020-08-15_23,0.23
2020-08-16_00,0.24
2020-08-16_01,0.2
2020-08-16_02,0.25
2020-08-16_03,0.23
2020-08-16_04,0.24
2020-08-16_05,0.25
2020-08-16_06,0.26
2020-08-16_07,0.29
2020-08-16_08,0.26
2020-08-16_09,0.28
2020-08-16_10,0.29
2020-08-16_11,0.31
2020-08-16_12,0.31
2020-08-16_13,0.3
2020-08-16_14,0.3
2020-08-16_15,0.32
2020-08-16_16,0.29
2020-08-16_17,0.26
2020-08-16_18,0.26
2020-08-16_19,0.26
2020-08-16_20,0.23
2020-08-16_21,0.25
2020-08-16_22,0.17
2020-08-16_23,0.2
2020-08-17_00,0.2
2020-08-17_01,0.21
2020-08-17_02,0.22
2020-08-17_03,0.22
2020-08-17_04,0.18
2020-08-17_05,0.28
2020-08-17_06,0.25
2020-08-17_07,0.29
2020-08-17_08,0.23
2020-08-17_09,0.26
2020-08-17_10,0.25
2020-08-17_11,0.27
2020-08-17_12,0.24
2020-08-17_13,0.22
2020-08-17_14,0.26
2020-08-17_15,0.26
2020-08-17_16,0.25
2020-08-17_17,0.29
2020-08-17_18,0.29
2020-08-17_19,0.22
2020-08-17_20,0.24
2020-08-17_21,0.24
2020-08-17_22,0.24
2020-08-17_23,0.33
2020-08-18_00,0.26
2020-08-18_01,0.25
2020-08-18_02,0.28
2020-08-18_03,0.3
2020-08-18_04,0.25
2020-08-18_05,0.26
2020-08-18_06,0.28
2020-08-18_07,0.27
2020-08-18_08,0.29
2020-08-18_09,0.27
2020-08-18_10,0.29
2020-08-18_11,0.26
2020-08-18_12,0.33
2020-08-18_13,0.29
2020-08-18_14,0.23
2020-08-18_15,0.24
2020-08-18_16,0.22
2020-08-18_17,0.2
2020-08-18_18,0.25
2020-08-18_19,0.2
2020-08-18_20,0.24
2020-08-18_21,0.21
2020-08-18_22,0.23
2020-08-18_23,0.23
2020-08-19_00,0.23
2020-08-19_01,0.2
2020-08-19_02,0.22
2020-08-19_03,0.25
2020-08-19_04,0.24
2020-08-19_05,0.26
2020-08-19_06,0.26
2020-08-19_07,0.26
2020-08-19_08,0.25
2020-08-19_09,0.25
2020-08-19_10,0.25
2020-08-19_11,0.22
2020-08-19_12,0.25
2020-08-19_13,0.23
2020-08-19_14,0.23
2020-08-19_15,0.22
2020-08-19_16,0.23
2020-08-19_17,0.24
2020-08-19_18,0.22
2020-08-19_19,0.22
2020-08-19_20,0.21
2020-08-19_21,0.2
2020-08-19_22,0.22
2020-08-19_23,0.17
2020-08-20_00,0.22
2020-08-20_01,0.2
2020-08-20_02,0.23
2020-08-20_03,0.24
2020-08-20_04,0.29
2020-08-20_05,0.28
2020-08-20_06,0.26
2020-08-20_07,0.25
2020-08-20_08,0.28
2020-08-20_09,0.31
2020-08-20_10,0.29
2020-08-20_11,0.28
2020-08-20_12,0.28
2020-08-20_13,0.26
2020-08-20_14,0.23
2020-08-20_15,0.27
2020-08-20_16,0.27
2020-08-20_17,0.28
2020-08-20_18,0.27
2020-08-20_19,0.24
2020-08-20_20,0.28
2020-08-20_21,0.24
2020-08-20_22,0.26
2020-08-20_23,0.24
2020-08-21_00,0.24
2020-08-21_01,0.24
2020-08-21_02,0.24
2020-08-21_03,0.21
2020-08-21_04,0.22
2020-08-21_05,0.22
2020-08-21_06,0.25
2020-08-21_07,0.26
2020-08-21_08,0.26
2020-08-21_09,0.27
2020-08-21_10,0.26
2020-08-21_11,0.22
2020-08-21_12,0.21
2020-08-21_13,0.25
2020-08-21_14,0.31
2020-08-21_15,0.24
2020-08-21_16,0.27
2020-08-21_17,0.23
2020-08-21_18,0.23
2020-08-21_19,0.24
2020-08-21_20,0.25
2020-08-21_21,0.22
2020-08-21_22,0.25
2020-08-21_23,0.24
2020-08-22_00,0.24
2020-08-22_01,0.23
2020-08-22_02,0.26
2020-08-22_03,0.26
2020-08-22_04,0.26
2020-08-22_05,0.21
2020-08-22_06,0.26
2020-08-22_07,0.25
2020-08-22_08,0.27
2020-08-22_09,0.26
2020-08-22_10,0.29
2020-08-22_11,0.31
2020-08-22_12,0.32
2020-08-22_13,0.29
2020-08-22_14,0.32
2020-08-22_15,0.28
2020-08-22_16,0.29
2020-08-22_17,0.26
2020-08-22_18,0.16
2020-08-22_19,0.21
2020-08-22_20,0.2
2020-08-22_21,0.18
2020-08-22_22,0.18
2020-08-22_23,0.2
2020-08-23_00,0.21
2020-08-23_01,0.19
2020-08-23_02,0.23
2020-08-23_03,0.24
2020-08-23_04,0.22
2020-08-23_05,0.26
2020-08-23_06,0.25
2020-08-23_07,0.23
2020-08-23_08,0.21
2020-08-23_09,0.25
2020-08-23_10,0.25
2020-08-23_11,0.27
2020-08-23_12,0.24
2020-08-23_13,0.25
2020-08-23_14,0.27
2020-08-23_15,0.23
2020-08-23_16,0.24
2020-08-23_17,0.26
2020-08-23_18,0.19
2020-08-23_19,0.25
2020-08-23_20,0.24
2020-08-23_21,0.24
2020-08-23_22,0.25
2020-08-23_23,0.25
2020-08-24_00,0.28
2020-08-24_01,0.25
2020-08-24_02,0.25
2020-08-24_03,0.28
2020-08-24_04,0.28
2020-08-24_05,0.33
2020-08-24_06,0.3
2020-08-24_07,0.33
2020-08-24_08,0.28
2020-08-24_09,0.3
2020-08-24_10,0.29
2020-08-24_11,0.29
2020-08-24_12,0.3
2020-08-24_13,0.29
2020-08-24_14,0.24
2020-08-24_15,0.28
2020-08-24_16,0.28
2020-08-24_17,0.27
2020-08-24_18,0.27
2020-08-24_19,0.26
2020-08-24_20,0.27
2020-08-24_21,0.26
2020-08-24_22,0.23
2020-08-24_23,0.24
2020-08-25_00,0.23
2020-08-25_01,0.24
2020-08-25_02,0.26
2020-08-25_03,0.26
2020-08-25_04,0.28
2020-08-25_05,0.29
2020-08-25_06,0.28
2020-08-25_07,0.33
2020-08-25_08,0.3
2020-08-25_09,0.27
2020-08-25_10,0.3
2020-08-25_11,0.25
2020-08-25_12,0.28
2020-08-25_13,0.24
2020-08-25_14,0.27
2020-08-25_15,0.27
2020-08-25_16,0.24
2020-08-25_17,0.25
2020-08-25_18,0.24
2020-08-25_19,0.28
2020-08-25_20,0.25
2020-08-25_21,0.24
2020-08-25_22,0.21
2020-08-25_23,0.23
2020-08-26_00,0.25
2020-08-26_01,0.25
2020-08-26_02,0.22
2020-08-26_03,0.22
2020-08-26_04,0.24
2020-08-26_05,0.26
2020-08-26_06,0.25
2020-08-26_07,0.25
2020-08-26_08,0.22
2020-08-26_09,0.21
2020-08-26_10,0.22
2020-08-26_11,0.21
2020-08-26_12,0.27
2020-08-26_13,0.21
2020-08-26_14,0.22
2020-08-26_15,0.22
2020-08-26_16,0.28
2020-08-26_17,0.22
2020-08-26_18,0.25
2020-08-26_19,0.24
2020-08-26_20,0.2
2020-08-26_21,0.22
2020-08-26_22,0.23
2020-08-26_23,0.21
2020-08-27_00,0.21
2020-08-27_01,0.24
2020-08-27_02,0.23
2020-08-27_03,0.26
2020-08-27_04,0.24
2020-08-27_05,0.25
2020-08-27_06,0.27
2020-08-27_07,0.26
2020-08-27_08,0.27
2020-08-27_09,0.31
2020-08-27_10,0.29
2020-08-27_11,0.26
2020-08-27_12,0.24
2020-08-27_13,0.24
2020-08-27_14,0.23
2020-08-27_15,0.26
2020-08-27_16,0.25
2020-08-27_17,0.24
2020-08-27_18,0.22
2020-08-27_19,0.2
2020-08-27_20,0.21
2020-08-27_21,0.2
2020-08-27_22,0.2
2020-08-27_23,0.22
2020-08-28_00,0.25
2020-08-28_01,0.29
2020-08-28_02,0.31
2020-08-28_03,0.31
2020-08-28_04,0.29
2020-08-28_05,0.29
2020-08-28_06,0.27
2020-08-28_07,0.26
2020-08-28_08,0.26
2020-08-28_09,0.25
2020-08-28_10,0.26
2020-08-28_11,0.21
2020-08-28_12,0.24
2020-08-28_13,0.25
2020-08-28_14,0.21
2020-08-28_15,0.29
2020-08-28_16,0.32
2020-08-28_17,0.28
2020-08-28_18,0.27
2020-08-28_19,0.29
2020-08-28_20,0.21
2020-08-28_21,0.22
2020-08-28_22,0.21
2020-08-28_23,0.22
2020-08-29_00,0.24
2020-08-29_01,0.25
2020-08-29_02,0.25
2020-08-29_03,0.27
2020-08-29_04,0.27
2020-08-29_05,0.29
2020-08-29_06,0.31
2020-08-29_07,0.29
2020-08-29_08,0.28
2020-08-29_09,0.22
2020-08-29_10,0.27
2020-08-29_11,0.27
2020-08-29_12,0.25
2020-08-29_13,0.25
2020-08-29_14,0.27
2020-08-29_15,0.28
2020-08-29_16,0.25
2020-08-29_17,0.28
2020-08-29_18,0.29
2020-08-29_19,0.27
2020-08-29_20,0.27
2020-08-29_21,0.26
2020-08-29_22,0.26
2020-08-29_23,0.29
2020-08-30_00,0.28
2020-08-30_01,0.26
2020-08-30_02,0.29
2020-08-30_03,0.32
2020-08-30_04,0.34
2020-08-30_05,0.29
2020-08-30_06,0.33
2020-08-30_07,0.32
2020-08-30_08,0.31
2020-08-30_09,0.31
2020-08-30_10,0.33
2020-08-30_11,0.31
2020-08-30_12,0.31
2020-08-30_13,0.31
2020-08-30_14,0.28
2020-08-30_15,0.29
2020-08-30_16,0.28
2020-08-30_17,0.29
2020-08-30_18,0.26
2020-08-30_19,0.26
2020-08-30_20,0.26
2020-08-30_21,0.32
2020-08-30_22,0.29
2020-08-30_23,0.28
2020-08-31_00,0.3
2020-08-31_01,0.27
2020-08-31_02,0.29
2020-08-31_03,0.31
2020-08-31_04,0.33
2020-08-31_05,0.32
2020-08-31_06,0.27
2020-08-31_07,0.28
2020-08-31_08,0.28
2020-08-31_09,0.3
2020-08-31_10,0.3
2020-08-31_11,0.29
2020-08-31_12,0.3
2020-08-31_13,0.29
2020-08-31_14,0.28
2020-08-31_15,0.31
2020-08-31_16,0.29
2020-08-31_17,0.28
2020-08-31_18,0.29
2020-08-31_19,0.26
2020-08-31_20,0.25
2020-08-31_21,0.24
2020-08-31_22,0.25
2020-08-31_23,0.26
2020-09-01_00,0.24
2020-09-01_01,0.25
2020-09-01_02,0.24
2020-09-01_03,0.27
2020-09-01_04,0.29
2020-09-01_05,0.3
2020-09-01_06,0.26
2020-09-01_07,0.27
2020-09-01_08,0.27
2020-09-01_09,0.24
2020-09-01_10,0.28
2020-09-01_11,0.28
2020-09-01_12,0.32
2020-09-01_13,0.31
2020-09-01_14,0.28
2020-09-01_15,0.27
2020-09-01_16,0.25
2020-09-01_17,0.26
2020-09-01_18,0.28
2020-09-01_19,0.24
2020-09-01_20,0.22
2020-09-01_21,0.22
2020-09-01_22,0.24
2020-09-01_23,0.24
2020-09-02_00,0.25
2020-09-02_01,0.22
2020-09-02_02,0.23
2020-09-02_03,0.24
2020-09-02_04,0.1
2020-09-02_05,0.21
2020-09-02_06,0.3
2020-09-02_07,0.28
2020-09-02_08,0.25
2020-09-02_09,0.23
2020-09-02_10,0.23
2020-09-02_11,0.29
2020-09-02_12,0.29
2020-09-02_13,0.28
2020-09-02_14,0.29
2020-09-02_15,0.29
2020-09-02_16,0.26
2020-09-02_17,0.24
2020-09-02_18,0.26
2020-09-02_19,0.23
2020-09-02_20,0.24
2020-09-02_21,0.26
2020-09-02_22,0.25
2020-09-02_23,0.23
2020-09-03_00,0.22
2020-09-03_01,0.23
2020-09-03_02,0.19
2020-09-03_03,0.16
2020-09-03_04,0.27
2020-09-03_05,0.3
2020-09-03_06,0.28
2020-09-03_07,0.28
2020-09-03_08,0.24
2020-09-03_09,0.26
2020-09-03_10,0.28
2020-09-03_11,0.23
2020-09-03_12,0.18
2020-09-03_13,0.26
2020-09-03_14,0.24
2020-09-03_15,0.24
2020-09-03_16,0.27
2020-09-03_17,0.32
2020-09-03_18,0.29
2020-09-03_19,0.28
2020-09-03_20,0.28
2020-09-03_21,0.28
2020-09-03_22,0.29
2020-09-03_23,0.25
2020-09-04_00,0.27
2020-09-04_01,0.26
2020-09-04_02,0.26
2020-09-04_03,0.25
2020-09-04_04,0.27
2020-09-04_05,0.27
2020-09-04_06,0.29
2020-09-04_07,0.3
2020-09-04_08,0.28
2020-09-04_09,0.26
2020-09-04_10,0.29
2020-09-04_11,0.28
2020-09-04_12,0.31
2020-09-04_13,0.27
2020-09-04_14,0.25
2020-09-04_15,0.32
2020-09-04_16,0.26
2020-09-04_17,0.23
2020-09-04_18,0.24
2020-09-04_19,0.24
2020-09-04_20,0.23
2020-09-04_21,0.22
2020-09-04_22,0.24
2020-09-04_23,0.24
2020-09-05_00,0.16
2020-09-05_01,0.23
2020-09-05_02,0.23
2020-09-05_03,0.24
2020-09-05_04,0.24
2020-09-05_05,0.26
2020-09-05_06,0.26
2020-09-05_07,0.26
2020-09-05_08,0.24
2020-09-05_09,0.27
2020-09-05_10,0.25
2020-09-05_11,0.28
2020-09-05_12,0.26
2020-09-05_13,0.29
2020-09-05_14,0.29
2020-09-05_15,0.24
2020-09-05_16,0.2
2020-09-05_17,0.18
2020-09-05_18,0.21
2020-09-05_19,0.19
2020-09-05_20,0.19
2020-09-05_21,0.21
2020-09-05_22,0.19
2020-09-05_23,0.2
2020-09-06_00,0.23
2020-09-06_01,0.23
2020-09-06_02,0.24
2020-09-06_03,0.24
2020-09-06_04,0.23
2020-09-06_05,0.23
2020-09-06_06,0.25
2020-09-06_07,0.28
2020-09-06_08,0.22
2020-09-06_09,0.27
2020-09-06_10,0.24
2020-09-06_11,0.25
2020-09-06_12,0.26
2020-09-06_13,0.19
2020-09-06_14,0.25
2020-09-06_15,0.27
2020-09-06_16,0.25
2020-09-06_17,0.3
2020-09-06_18,0.26
2020-09-06_19,0.21
2020-09-06_20,0.12
2020-09-06_21,0.25
2020-09-06_22,0.22
2020-09-06_23,0.25
2020-09-07_00,0.22
2020-09-07_01,0.23
2020-09-07_02,0.25
2020-09-07_03,0.25
2020-09-07_04,0.27
2020-09-07_05,0.26
2020-09-07_06,0.27
2020-09-07_07,0.26
2020-09-07_08,0.22
2020-09-07_09,0.22
2020-09-07_10,0.25
2020-09-07_11,0.29
2020-09-07_12,0.29
2020-09-07_13,0.26
2020-09-07_14,0.23
2020-09-07_15,0.23
2020-09-07_16,0.24
2020-09-07_17,0.22
2020-09-07_18,0.23
2020-09-07_19,0.22
2020-09-07_20,0.21
2020-09-07_21,0.19
2020-09-07_22,0.2
2020-09-07_23,0.24
2020-09-08_00,0.22
2020-09-08_01,0.2
2020-09-08_02,0.22
2020-09-08_03,0.19
2020-09-08_04,0.26
2020-09-08_05,0.26
2020-09-08_06,0.29
2020-09-08_07,0.27
2020-09-08_08,0.26
2020-09-08_09,0.21
2020-09-08_10,0.29
2020-09-08_11,0.28
2020-09-08_12,0.3
2020-09-08_13,0.26
2020-09-08_14,0.23
2020-09-08_15,0.27
2020-09-08_16,0.24
2020-09-08_17,0.25
2020-09-08_18,0.24
2020-09-08_19,0.2
2020-09-08_20,0.24
2020-09-08_21,0.24
2020-09-08_22,0.23
2020-09-08_23,0.23
2020-09-09_00,0.26
2020-09-09_01,0.25
2020-09-09_02,0.28
2020-09-09_03,0.23
2020-09-09_04,0.24
2020-09-09_05,0.24
2020-09-09_06,0.26
2020-09-09_07,0.29
2020-09-09_08,0.31
2020-09-09_09,0.31
2020-09-09_10,0.28
2020-09-09_11,0.29
2020-09-09_12,0.26
2020-09-09_13,0.27
2020-09-09_14,0.27
2020-09-09_15,0.29
2020-09-09_16,0.28
2020-09-09_17,0.27
2020-09-09_18,0.26
2020-09-09_19,0.25
2020-09-09_20,0.26
2020-09-09_21,0.25
2020-09-09_22,0.25
2020-09-09_23,0.21
2020-09-10_00,0.22
2020-09-10_01,0.21
2020-09-10_02,0.18
2020-09-10_03,0.2
2020-09-10_04,0.23
2020-09-10_05,0.2
2020-09-10_06,0.23
2020-09-10_07,0.22
2020-09-10_08,0.21
2020-09-10_09,0.23
2020-09-10_10,0.26
2020-09-10_11,0.3
2020-09-10_12,0.29
2020-09-10_13,0.35
2020-09-10_14,0.28
2020-09-10_15,0.26
2020-09-10_16,0.27
2020-09-10_17,0.28
2020-09-10_18,0.23
2020-09-10_19,0.26
2020-09-10_20,0.23
2020-09-10_21,0.24
2020-09-10_22,0.22
2020-09-10_23,0.23
2020-09-11_00,0.23
2020-09-11_01,0.23
2020-09-11_02,0.25
2020-09-11_03,0.25
2020-09-11_04,0.23
2020-09-11_05,0.25
2020-09-11_06,0.25
2020-09-11_07,0.24
2020-09-11_08,0.3
2020-09-11_09,0.28
2020-09-11_10,0.31
2020-09-11_11,0.29
2020-09-11_12,0.27
2020-09-11_13,0.3
2020-09-11_14,0.28
2020-09-11_15,0.26
2020-09-11_16,0.25
2020-09-11_17,0.24
2020-09-11_18,0.27
2020-09-11_19,0.23
2020-09-11_20,0.27
2020-09-11_21,0.25
2020-09-11_22,0.23
2020-09-11_23,0.27
2020-09-12_00,0.23
2020-09-12_01,0.24
2020-09-12_02,0.22
2020-09-12_03,0.25
2020-09-12_04,0.25
2020-09-12_05,0.26
2020-09-12_06,0.3
2020-09-12_07,0.24
2020-09-12_08,0.23
2020-09-12_09,0.26
2020-09-12_10,0.23
2020-09-12_11,0.27
2020-09-12_12,0.28
2020-09-12_13,0.26
2020-09-12_14,0.18
2020-09-12_15,0.26
2020-09-12_16,0.29
2020-09-12_17,0.28
2020-09-12_18,0.24
2020-09-12_19,0.25
2020-09-12_20,0.26
2020-09-12_21,0.28
2020-09-12_22,0.26
2020-09-12_23,0.21
2020-09-13_00,0.25
2020-09-13_01,0.25
2020-09-13_02,0.19
2020-09-13_03,0.16
2020-09-13_04,0.25
2020-09-13_05,0.22
2020-09-13_06,0.24
2020-09-13_07,0.26
2020-09-13_08,0.23
2020-09-13_09,0.26
2020-09-13_10,0.25
